group;ISOweek;observed;delaycorrected;N
65to74;2018-W15;210;210;651980.857142857
65to74;2018-W16;224;224;652061.285714286
65to74;2018-W17;215;215;652156.857142857
65to74;2018-W18;198;198;652288.142857143
65to74;2018-W19;240;240;652351.571428572
65to74;2018-W20;236;236;652365.142857143
65to74;2018-W21;217;217;652374.571428572
65to74;2018-W22;205;205;652326.714285714
65to74;2018-W23;248;248;652322.571428572
65to74;2018-W24;205;205;652367.571428572
65to74;2018-W25;223;223;652441.857142857
65to74;2018-W26;211;211;652527.714285714
65to74;2018-W27;226;226;652511.428571429
65to74;2018-W28;215;215;652412
65to74;2018-W29;201;201;652398.714285714
65to74;2018-W30;222;222;652354.142857143
65to74;2018-W31;249;249;652354.428571429
65to74;2018-W32;223;223;652286.571428572
65to74;2018-W33;223;223;652264.714285714
65to74;2018-W34;208;208;652214.857142857
65to74;2018-W35;219;219;652245
65to74;2018-W36;219;219;652153.142857143
65to74;2018-W37;219;219;652096.571428572
65to74;2018-W38;248;248;652069.285714286
65to74;2018-W39;213;213;652005.857142857
65to74;2018-W40;230;230;652007
65to74;2018-W41;220;220;651968.714285714
65to74;2018-W42;221;221;651911.142857143
65to74;2018-W43;200;200;651841
65to74;2018-W44;221;221;651733.857142857
65to74;2018-W45;220;220;651625
65to74;2018-W46;203;203;651541.571428572
65to74;2018-W47;209;209;651436.285714286
65to74;2018-W48;222;222;651300.142857143
65to74;2018-W49;222;222;651223.571428572
65to74;2018-W50;215;215;651201.285714286
65to74;2018-W51;239;239;651094.142857143
65to74;2018-W52;240;240;651021.142857143
65to74;2019-W01;278;278;651054.857142857
65to74;2019-W02;245;245;650901
65to74;2019-W03;228;228;650793.571428572
65to74;2019-W04;239;239;650624.571428572
65to74;2019-W05;277;277;650453.142857143
65to74;2019-W06;273;273;650358.428571429
65to74;2019-W07;221;221;650344.428571429
65to74;2019-W08;273;273;650286.428571429
65to74;2019-W09;240;240;650204.285714286
65to74;2019-W10;238;238;650168.285714286
65to74;2019-W11;218;218;650051.142857143
65to74;2019-W12;224;224;649967.714285714
65to74;2019-W13;202;202;649886.285714286
65to74;2019-W14;233;233;649889.428571429
65to74;2019-W15;219;219;649791.857142857
65to74;2019-W16;215;215;649687.428571429
65to74;2019-W17;210;210;649573.714285714
65to74;2019-W18;223;223;649421.285714286
65to74;2019-W19;221;221;649327.428571429
65to74;2019-W20;228;228;649312
65to74;2019-W21;207;207;649294.285714286
65to74;2019-W22;199;199;649306
65to74;2019-W23;228;228;649278.571428572
65to74;2019-W24;221;221;649285.428571429
65to74;2019-W25;224;224;649264.428571429
65to74;2019-W26;248;248;649184.571428572
65to74;2019-W27;186;186;649121
65to74;2019-W28;190;190;649064
65to74;2019-W29;227;227;649021.142857143
65to74;2019-W30;202;202;648863.714285714
65to74;2019-W31;215;215;648668.571428572
65to74;2019-W32;227;227;648486
65to74;2019-W33;204;204;648326.714285714
65to74;2019-W34;192;192;648096
65to74;2019-W35;243;243;647939.571428572
65to74;2019-W36;215;215;647812.714285714
65to74;2019-W37;212;212;647751.857142857
65to74;2019-W38;198;198;647617.428571429
65to74;2019-W39;203;203;647485.285714286
65to74;2019-W40;212;212;647450.428571429
65to74;2019-W41;225;225;647389.142857143
65to74;2019-W42;217;217;647289.285714286
65to74;2019-W43;236;236;647081.428571429
65to74;2019-W44;214;214;647000.714285714
65to74;2019-W45;221;221;646907.142857143
65to74;2019-W46;196;196;646793.428571429
65to74;2019-W47;239;239;646671.142857143
65to74;2019-W48;248;248;646514.571428572
65to74;2019-W49;224;224;646289.142857143
65to74;2019-W50;225;225;646165.142857143
65to74;2019-W51;220;220;646094.428571429
65to74;2019-W52;217;217;645868.857142857
65to74;2020-W01;258;258;645700.285714286
65to74;2020-W02;224;224;645461.142857143
65to74;2020-W03;230;230;645249.714285714
65to74;2020-W04;226;226;645054.285714286
65to74;2020-W05;215;215;644918.571428572
65to74;2020-W06;211;211;644762.285714286
65to74;2020-W07;221;221;644603.571428572
65to74;2020-W08;224;224;644526.285714286
65to74;2020-W09;225;225;644413
65to74;2020-W10;219;219;644279.428571429
65to74;2020-W11;244;244;644211.142857143
65to74;2020-W12;230;230;644114.571428572
65to74;2020-W13;238;238;643908.428571429
65to74;2020-W14;257;257;643753.142857143
65to74;2020-W15;255;255;643588.571428572
65to74;2020-W16;219;219;643423.857142857
65to74;2020-W17;236;236;643330.285714286
65to74;2020-W18;191;191;643230.285714286
65to74;2020-W19;207;207;643148
65to74;2020-W20;211;211;643022.714285714
65to74;2020-W21;208;208;642840.285714286
65to74;2020-W22;217;217;642714.714285714
65to74;2020-W23;195;195;642570.428571429
65to74;2020-W24;209;209;642469.714285714
65to74;2020-W25;191;191;642416.285714286
65to74;2020-W26;199;199;642322.571428572
65to74;2020-W27;200;200;642398.142857143
65to74;2020-W28;201;201;642300.714285714
65to74;2020-W29;215;215;642122.714285714
65to74;2020-W30;191;191;641935.571428572
65to74;2020-W31;221;221;641820.571428572
65to74;2020-W32;187;187;641674
65to74;2020-W33;222;222;641624.285714286
65to74;2020-W34;198;198;641449
65to74;2020-W35;211;211;641270
65to74;2020-W36;212;212;641101.571428572
65to74;2020-W37;185;185;641010.428571429
65to74;2020-W38;205;205;640838.857142857
65to74;2020-W39;214;214;640607.857142857
65to74;2020-W40;206;206;640409
65to74;2020-W41;199;199;640282.857142857
65to74;2020-W42;225;225;640123
65to74;2020-W43;201;201;640021.142857143
65to74;2020-W44;198;198;639953.571428572
65to74;2020-W45;193;193;639778.857142857
65to74;2020-W46;234;234;639593.571428572
65to74;2020-W47;221;221;639380.714285714
65to74;2020-W48;217;217;639227.285714286
65to74;2020-W49;226;226;639078.714285714
65to74;2020-W50;204;204;638928.571428572
65to74;2020-W51;263;263;638782.142857143
65to74;2020-W52;258;258;638507.428571429
65to74;2020-W53;252;252;638408.857142857
65to74;2021-W01;234;234;638293.857142857
65to74;2021-W02;257;257;638134.428571429
65to74;2021-W03;249;249;637977.571428572
65to74;2021-W04;264;264;637742.428571429
65to74;2021-W05;247;247;637516.571428572
65to74;2021-W06;229;229;637161.714285714
65to74;2021-W07;209;209;636900.428571429
65to74;2021-W08;161;161;636670.714285714
65to74;2021-W09;198;198;636580
65to74;2021-W10;236;236;636345
65to74;2021-W11;212;212;636091.428571429
65to74;2021-W12;205;205;635843.428571429
65to74;2021-W13;206;206;635657
65to74;2021-W14;208;208;635491.714285714
65to74;2021-W15;205;205;635369.428571429
65to74;2021-W16;224;224;635181.857142857
65to74;2021-W17;214;214;635048.857142857
65to74;2021-W18;250;250;634847
65to74;2021-W19;209;209;634617.714285714
65to74;2021-W20;229;229;634358.714285714
65to74;2021-W21;198;198;634051.857142857
65to74;2021-W22;186;186;633887
65to74;2021-W23;209;209;633698.571428572
65to74;2021-W24;194;194;633439
65to74;2021-W25;207;207;633219.285714286
65to74;2021-W26;224;224;633021
65to74;2021-W27;185;185;632872.571428572
65to74;2021-W28;212;212;632807.571428572
65to74;2021-W29;222;222;632681.857142857
65to74;2021-W30;201;201;632572.714285714
65to74;2021-W31;222;222;632460.142857143
65to74;2021-W32;203;203;632385.571428572
65to74;2021-W33;202;202;632269
65to74;2021-W34;231;231;632206
65to74;2021-W35;225;225;632092.428571429
65to74;2021-W36;209;209;631901
65to74;2021-W37;209;209;631688.714285714
65to74;2021-W38;221;221;631544
65to74;2021-W39;233;233;631384.714285714
65to74;2021-W40;227;227;631141.714285714
65to74;2021-W41;224;224;630914.857142857
65to74;2021-W42;205;205;630732
65to74;2021-W43;208;208;630632.142857143
65to74;2021-W44;202;202;630513.285714286
65to74;2021-W45;228;228;630402.714285714
65to74;2021-W46;209;209;630352.428571429
65to74;2021-W47;233;233;630262.142857143
65to74;2021-W48;229;229;630158.571428572
65to74;2021-W49;262;262;629996.714285714
65to74;2021-W50;208;208;629825.285714286
65to74;2021-W51;236;236;629743
65to74;2021-W52;262;262;629605.714285714
65to74;2022-W01;253;253;629501.571428572
65to74;2022-W02;197;197;629264
65to74;2022-W03;225;225;629133.714285714
65to74;2022-W04;225;225;629006.714285714
65to74;2022-W05;244;244;628915.571428572
65to74;2022-W06;240;240;628653.142857143
65to74;2022-W07;229;229;628392.428571429
65to74;2022-W08;232;232;628133.714285714
65to74;2022-W09;244;244;627841.714285714
65to74;2022-W10;216;216;627537.285714286
65to74;2022-W11;234;234;627419.142857143
65to74;2022-W12;235;235;627317.142857143
65to74;2022-W13;249;249;627137.428571429
65to74;2022-W14;227;227;626997.285714286
65to74;2022-W15;224;224;626944.857142857
65to74;2022-W16;213;213;626835
65to74;2022-W17;206;206;626781.571428572
65to74;2022-W18;220;220;626760.285714286
65to74;2022-W19;187;187;626693.571428572
65to74;2022-W20;215;215;626533.857142857
65to74;2022-W21;201;201;626333.857142857
65to74;2022-W22;209;209;626233.142857143
65to74;2022-W23;209;209;626220.857142857
65to74;2022-W24;192;192;626210.714285714
65to74;2022-W25;233;233;626071.285714286
65to74;2022-W26;220;220;625975
65to74;2022-W27;210;210;625865.571428572
65to74;2022-W28;189;189;625670.857142857
65to74;2022-W29;210;210;625600.714285714
65to74;2022-W30;211;211;625464.571428572
65to74;2022-W31;208;208;625304.428571429
65to74;2022-W32;206;206;625056.428571429
65to74;2022-W33;217;217;624871.714285714
65to74;2022-W34;211;211;624792.142857143
65to74;2022-W35;199;199;624745.857142857
65to74;2022-W36;208;208;624687.571428572
65to74;2022-W37;187;187;624701.142857143
65to74;2022-W38;196;196;624656.428571429
65to74;2022-W39;215;215;624566.571428572
65to74;2022-W40;234;234;624531.428571429
65to74;2022-W41;217;217;624491.428571429
65to74;2022-W42;191;191;624514.857142857
65to74;2022-W43;222;222;624547.857142857
65to74;2022-W44;200;203.7515;624559.714285714
65to74;2022-W45;205;209.2049;624516.428571429
65to74;2022-W46;192;197.4296;624482.428571429
65to74;2022-W47;210;214.7245;624489.285714286
65to74;2022-W48;237;242.9982;624489.428571429
65to74;2022-W49;222;227.6569;624394.285714286
65to74;2022-W50;257;266.7884;624356.285714286
65to74;2022-W51;254;264.2689;624295.428571429
65to74;2022-W52;248;258.2081;624083
65to74;2023-W01;236;245.8051;624056.714285714
65to74;2023-W02;220;231.1963;623990.428571429
65to74;2023-W03;169;215.6879;623928.571428572
75to84;2017-W29;272;272;344383
75to84;2017-W30;279;279;344718.571428571
75to84;2017-W31;287;287;344997.142857143
75to84;2017-W32;270;270;345342
75to84;2017-W33;270;270;345732.428571429
75to84;2017-W34;290;290;346120.142857143
75to84;2017-W35;280;280;346474.857142857
75to84;2017-W36;273;273;346834.571428571
75to84;2017-W37;326;326;347163.571428571
75to84;2017-W38;289;289;347487.857142857
75to84;2017-W39;309;309;347925.142857143
75to84;2017-W40;301;301;348216.142857143
75to84;2017-W41;306;306;348543.714285714
75to84;2017-W42;303;303;348820.857142857
75to84;2017-W43;291;291;349086.142857143
75to84;2017-W44;328;328;349369.142857143
75to84;2017-W45;296;296;349651.142857143
75to84;2017-W46;303;303;349963.571428571
75to84;2017-W47;329;329;350266.571428571
75to84;2017-W48;331;331;350490.857142857
75to84;2017-W49;304;304;350761
75to84;2017-W50;335;335;351060.857142857
75to84;2017-W51;318;318;351311
75to84;2017-W52;356;356;351496.428571429
75to84;2018-W01;345;345;351757.857142857
75to84;2018-W02;347;347;352050.714285714
75to84;2018-W03;367;367;352301.857142857
75to84;2018-W04;370;370;352554.428571429
75to84;2018-W05;355;355;352797.285714286
75to84;2018-W06;376;376;352973.857142857
75to84;2018-W07;373;373;353275.428571429
75to84;2018-W08;379;379;353604
75to84;2018-W09;409;409;353929
75to84;2018-W10;401;401;354185.571428571
75to84;2018-W11;398;398;354476.714285714
75to84;2018-W12;395;395;354762.428571429
75to84;2018-W13;383;383;355131.428571429
75to84;2018-W14;358;358;355500.142857143
75to84;2018-W15;379;379;355914.571428571
75to84;2018-W16;354;354;356286.857142857
75to84;2018-W17;326;326;356705.714285714
75to84;2018-W18;341;341;357060.285714286
75to84;2018-W19;292;292;357422.285714286
75to84;2018-W20;318;318;357879.714285714
75to84;2018-W21;276;276;358298.714285714
75to84;2018-W22;314;314;358767.714285714
75to84;2018-W23;316;316;359124.428571429
75to84;2018-W24;304;304;359502.857142857
75to84;2018-W25;285;285;359876
75to84;2018-W26;294;294;360207.428571429
75to84;2018-W27;287;287;360664.285714286
75to84;2018-W28;315;315;360981.428571429
75to84;2018-W29;312;312;361311
75to84;2018-W30;339;339;361709.857142857
75to84;2018-W31;347;347;362010.571428571
75to84;2018-W32;318;318;362353.142857143
75to84;2018-W33;302;302;362648.285714286
75to84;2018-W34;304;304;362970.714285714
75to84;2018-W35;279;279;363346.428571429
75to84;2018-W36;334;334;363664.857142857
75to84;2018-W37;291;291;363987.857142857
75to84;2018-W38;298;298;364335
75to84;2018-W39;299;299;364780.428571429
75to84;2018-W40;297;297;365151.285714286
75to84;2018-W41;301;301;365512.428571429
75to84;2018-W42;304;304;365812.142857143
75to84;2018-W43;330;330;366118.142857143
75to84;2018-W44;315;315;366435.285714286
75to84;2018-W45;301;301;366751.571428571
75to84;2018-W46;299;299;367102.142857143
75to84;2018-W47;329;329;367449.285714286
75to84;2018-W48;312;312;367803.428571429
75to84;2018-W49;349;349;368126.428571429
75to84;2018-W50;334;334;368448.714285714
75to84;2018-W51;359;359;368805
75to84;2018-W52;343;343;369079.571428571
75to84;2019-W01;325;325;369379.857142857
75to84;2019-W02;345;345;369800.428571429
75to84;2019-W03;377;377;370121
75to84;2019-W04;330;330;370506.142857143
75to84;2019-W05;360;360;370891.142857143
75to84;2019-W06;390;390;371214.714285714
75to84;2019-W07;372;372;371573.714285714
75to84;2019-W08;351;351;371921.571428571
75to84;2019-W09;326;326;372334.285714286
75to84;2019-W10;335;335;372764.285714286
75to84;2019-W11;361;361;373269.285714286
75to84;2019-W12;321;321;373707.571428571
75to84;2019-W13;324;324;374162.285714286
75to84;2019-W14;358;358;374597.428571429
75to84;2019-W15;336;336;375039.714285714
75to84;2019-W16;337;337;375476.857142857
75to84;2019-W17;318;318;375953
75to84;2019-W18;326;326;376456.857142857
75to84;2019-W19;337;337;376924.142857143
75to84;2019-W20;297;297;377377.142857143
75to84;2019-W21;333;333;377779.857142857
75to84;2019-W22;299;299;378150.857142857
75to84;2019-W23;322;322;378519.428571429
75to84;2019-W24;318;318;378878.714285714
75to84;2019-W25;307;307;379318
75to84;2019-W26;295;295;379788.142857143
75to84;2019-W27;311;311;380313.428571429
75to84;2019-W28;327;327;380738
75to84;2019-W29;281;281;381066.285714286
75to84;2019-W30;325;325;381511.428571429
75to84;2019-W31;318;318;382035.285714286
75to84;2019-W32;313;313;382499.857142857
75to84;2019-W33;282;282;382958
75to84;2019-W34;329;329;383443.428571429
75to84;2019-W35;299;299;383824.285714286
75to84;2019-W36;328;328;384178.714285714
75to84;2019-W37;297;297;384582.142857143
75to84;2019-W38;361;361;385032.142857143
75to84;2019-W39;310;310;385530.857142857
75to84;2019-W40;292;292;385987
75to84;2019-W41;334;334;386389.571428571
75to84;2019-W42;297;297;386701.428571429
75to84;2019-W43;323;323;387049.142857143
75to84;2019-W44;312;312;387364.571428571
75to84;2019-W45;331;331;387721.714285714
75to84;2019-W46;349;349;388064.285714286
75to84;2019-W47;349;349;388413.428571429
75to84;2019-W48;368;368;388776.142857143
75to84;2019-W49;402;402;389071.571428571
75to84;2019-W50;356;356;389416.714285714
75to84;2019-W51;346;346;389698.571428571
75to84;2019-W52;322;322;390014.428571429
75to84;2020-W01;325;325;390420.857142857
75to84;2020-W02;351;351;390938.428571429
75to84;2020-W03;344;344;391365.285714286
75to84;2020-W04;326;326;391785
75to84;2020-W05;352;352;392166.285714286
75to84;2020-W06;362;362;392610.714285714
75to84;2020-W07;340;340;393101
75to84;2020-W08;305;305;393575.285714286
75to84;2020-W09;316;316;394113
75to84;2020-W10;348;348;394608
75to84;2020-W11;347;347;395104.142857143
75to84;2020-W12;388;388;395522.714285714
75to84;2020-W13;371;371;396044.428571429
75to84;2020-W14;411;411;396552
75to84;2020-W15;391;391;396987.857142857
75to84;2020-W16;370;370;397446
75to84;2020-W17;366;366;397960.857142857
75to84;2020-W18;349;349;398483.571428571
75to84;2020-W19;336;336;398990.571428571
75to84;2020-W20;313;313;399561.142857143
75to84;2020-W21;310;310;400085.428571429
75to84;2020-W22;316;316;400519.857142857
75to84;2020-W23;330;330;401034.428571429
75to84;2020-W24;322;322;401452
75to84;2020-W25;306;306;401817.714285714
75to84;2020-W26;341;341;402228.571428571
75to84;2020-W27;311;311;402652.285714286
75to84;2020-W28;312;312;403131.142857143
75to84;2020-W29;332;332;403606.285714286
75to84;2020-W30;313;313;404061.714285714
75to84;2020-W31;309;309;404491.428571429
75to84;2020-W32;317;317;404872.428571429
75to84;2020-W33;321;321;405245.714285714
75to84;2020-W34;320;320;405714.428571429
75to84;2020-W35;302;302;406181.857142857
75to84;2020-W36;338;338;406625
75to84;2020-W37;325;325;406965.285714286
75to84;2020-W38;385;385;407421
75to84;2020-W39;313;313;407925.428571429
75to84;2020-W40;337;337;408479.142857143
75to84;2020-W41;302;302;408904.571428571
75to84;2020-W42;337;337;409354.857142857
75to84;2020-W43;376;376;409755.857142857
75to84;2020-W44;335;335;410085.857142857
75to84;2020-W45;374;374;410475
75to84;2020-W46;388;388;410858.428571429
75to84;2020-W47;373;373;411209.857142857
75to84;2020-W48;387;387;411568.714285714
75to84;2020-W49;379;379;411935.571428571
75to84;2020-W50;378;378;412333.571428571
75to84;2020-W51;421;421;412714
75to84;2020-W52;389;389;413096
75to84;2020-W53;405;405;413374.571428571
75to84;2021-W01;420;420;413807.714285714
75to84;2021-W02;412;412;414153
75to84;2021-W03;449;449;414482.285714286
75to84;2021-W04;394;394;414838.571428571
75to84;2021-W05;407;407;415331.428571429
75to84;2021-W06;373;373;415847.571428571
75to84;2021-W07;351;351;416433.285714286
75to84;2021-W08;338;338;417090.571428571
75to84;2021-W09;319;319;417674.571428571
75to84;2021-W10;354;354;418268.428571429
75to84;2021-W11;328;328;418863.571428571
75to84;2021-W12;361;361;419524.142857143
75to84;2021-W13;331;331;420155
75to84;2021-W14;321;321;420746
75to84;2021-W15;346;346;421349.714285714
75to84;2021-W16;362;362;421815.857142857
75to84;2021-W17;312;312;422348
75to84;2021-W18;352;352;422888.857142857
75to84;2021-W19;331;331;423414.571428572
75to84;2021-W20;347;347;423963.714285714
75to84;2021-W21;374;374;424580.285714286
75to84;2021-W22;353;353;425070.142857143
75to84;2021-W23;340;340;425530.142857143
75to84;2021-W24;343;343;426050.857142857
75to84;2021-W25;316;316;426535.142857143
75to84;2021-W26;325;325;427048.428571429
75to84;2021-W27;330;330;427592.142857143
75to84;2021-W28;382;382;428024
75to84;2021-W29;342;342;428450.142857143
75to84;2021-W30;350;350;428926.428571429
75to84;2021-W31;388;388;429313.857142857
75to84;2021-W32;377;377;429633.285714286
75to84;2021-W33;353;353;429926
75to84;2021-W34;361;361;430307.571428572
75to84;2021-W35;345;345;430689.285714286
75to84;2021-W36;384;384;431063.714285714
75to84;2021-W37;361;361;431460
75to84;2021-W38;356;356;431863.285714286
75to84;2021-W39;358;358;432361.428571429
75to84;2021-W40;346;346;432790.857142857
75to84;2021-W41;390;390;433199.428571429
75to84;2021-W42;358;358;433592.857142857
75to84;2021-W43;382;382;433929.142857143
75to84;2021-W44;406;406;434230.857142857
75to84;2021-W45;370;370;434472
75to84;2021-W46;415;415;434787.428571429
75to84;2021-W47;431;431;435032
75to84;2021-W48;426;426;435261.571428571
75to84;2021-W49;429;429;435532
75to84;2021-W50;448;448;435810.142857143
75to84;2021-W51;423;423;436023
75to84;2021-W52;420;420;436251.857142857
75to84;2022-W01;458;458;436614.571428571
75to84;2022-W02;454;454;436973.857142857
75to84;2022-W03;412;412;437286
75to84;2022-W04;410;410;437608.428571429
75to84;2022-W05;391;391;437976.857142857
75to84;2022-W06;405;405;438420.857142857
75to84;2022-W07;453;453;438864.857142857
75to84;2022-W08;403;403;439264.428571429
75to84;2022-W09;395;395;439810.714285714
75to84;2022-W10;431;431;440319.142857143
75to84;2022-W11;404;404;440710.571428571
75to84;2022-W12;401;401;441166.428571429
75to84;2022-W13;394;394;441704
75to84;2022-W14;470;470;442190.714285714
75to84;2022-W15;402;402;442591.571428572
75to84;2022-W16;383;383;443040.857142857
75to84;2022-W17;390;390;443502.428571429
75to84;2022-W18;371;371;444010.285714286
75to84;2022-W19;374;374;444559.285714286
75to84;2022-W20;345;345;445060.714285714
75to84;2022-W21;336;336;445513.714285714
75to84;2022-W22;361;361;446034.857142857
75to84;2022-W23;374;374;446412.285714286
75to84;2022-W24;383;383;446751.428571429
75to84;2022-W25;356;356;447243.571428572
75to84;2022-W26;406;406;447619
75to84;2022-W27;349;349;448020
75to84;2022-W28;359;359;448460.714285714
75to84;2022-W29;387;387;448794.285714286
75to84;2022-W30;363;363;449057.571428572
75to84;2022-W31;410;410;449422.428571429
75to84;2022-W32;389;389;449829.714285714
75to84;2022-W33;411;411;450155.714285714
75to84;2022-W34;396;396;450438.571428571
75to84;2022-W35;332;332;450728.142857143
75to84;2022-W36;398;398;451017.428571429
75to84;2022-W37;351;351;451280.857142857
75to84;2022-W38;342;342;451682.714285714
75to84;2022-W39;407;407;452152
75to84;2022-W40;399;399;452456.428571429
75to84;2022-W41;394;394;452750.714285714
75to84;2022-W42;415;415;452887.285714286
75to84;2022-W43;383;383;453046.714285714
75to84;2022-W44;342;343.8462;453295.571428571
75to84;2022-W45;352;355.6933;453522.142857143
75to84;2022-W46;362;365.9436;453783.285714286
75to84;2022-W47;406;414.3971;453994.571428571
75to84;2022-W48;369;374.527;454213.285714286
75to84;2022-W49;408;417.1805;454382
75to84;2022-W50;474;499.2322;454533.142857143
75to84;2022-W51;523;566.201;454564.428571429
75to84;2022-W52;476;498.7961;454610.714285714
75to84;2023-W01;459;482.0972;454839.428571429
75to84;2023-W02;470;502.4992;454965.428571429
75to84;2023-W03;363;415.7863;455220.428571429
85P;2017-W29;330;330;122884.857142857
85P;2017-W30;331;331;122941.571428571
85P;2017-W31;355;355;123018.714285714
85P;2017-W32;343;343;123070.285714286
85P;2017-W33;335;335;123121.428571429
85P;2017-W34;353;353;123139.571428571
85P;2017-W35;336;336;123187.571428571
85P;2017-W36;339;339;123251.285714286
85P;2017-W37;327;327;123313
85P;2017-W38;347;347;123373.428571429
85P;2017-W39;341;341;123450
85P;2017-W40;350;350;123506
85P;2017-W41;368;368;123543.428571429
85P;2017-W42;338;338;123536.142857143
85P;2017-W43;295;295;123589.571428571
85P;2017-W44;330;330;123651.142857143
85P;2017-W45;344;344;123673.428571429
85P;2017-W46;421;421;123611.428571429
85P;2017-W47;356;356;123567
85P;2017-W48;369;369;123548.714285714
85P;2017-W49;390;390;123555.714285714
85P;2017-W50;430;430;123529.285714286
85P;2017-W51;393;393;123492.428571429
85P;2017-W52;437;437;123422.428571429
85P;2018-W01;417;417;123395.857142857
85P;2018-W02;478;478;123318.857142857
85P;2018-W03;452;452;123216.142857143
85P;2018-W04;397;397;123152.571428571
85P;2018-W05;449;449;123155
85P;2018-W06;454;454;123124
85P;2018-W07;507;507;123044.571428571
85P;2018-W08;494;494;122946.428571429
85P;2018-W09;511;511;122881.857142857
85P;2018-W10;519;519;122750.857142857
85P;2018-W11;489;489;122678
85P;2018-W12;485;485;122624.714285714
85P;2018-W13;461;461;122557.428571429
85P;2018-W14;417;417;122537.571428571
85P;2018-W15;419;419;122569.857142857
85P;2018-W16;368;368;122592.714285714
85P;2018-W17;368;368;122613.285714286
85P;2018-W18;346;346;122682.285714286
85P;2018-W19;381;381;122736.857142857
85P;2018-W20;352;352;122773.571428571
85P;2018-W21;333;333;122839.714285714
85P;2018-W22;356;356;122907.428571429
85P;2018-W23;326;326;122984.285714286
85P;2018-W24;354;354;123024.857142857
85P;2018-W25;349;349;123050.714285714
85P;2018-W26;343;343;123075.714285714
85P;2018-W27;377;377;123087.571428571
85P;2018-W28;345;345;123151.285714286
85P;2018-W29;362;362;123186.285714286
85P;2018-W30;416;416;123198.285714286
85P;2018-W31;364;364;123201.714285714
85P;2018-W32;371;371;123236.714285714
85P;2018-W33;363;363;123288.571428571
85P;2018-W34;362;362;123379.428571429
85P;2018-W35;335;335;123401.142857143
85P;2018-W36;337;337;123469.571428571
85P;2018-W37;333;333;123544.428571429
85P;2018-W38;358;358;123632.714285714
85P;2018-W39;350;350;123692.285714286
85P;2018-W40;395;395;123747.714285714
85P;2018-W41;377;377;123761.714285714
85P;2018-W42;312;312;123807
85P;2018-W43;344;344;123822.428571429
85P;2018-W44;375;375;123856.428571429
85P;2018-W45;358;358;123834.857142857
85P;2018-W46;349;349;123846.428571429
85P;2018-W47;354;354;123865.571428571
85P;2018-W48;380;380;123872.285714286
85P;2018-W49;391;391;123872.285714286
85P;2018-W50;380;380;123851.571428571
85P;2018-W51;376;376;123874.142857143
85P;2018-W52;350;350;123896.285714286
85P;2019-W01;403;403;123959.857142857
85P;2019-W02;431;431;123940.142857143
85P;2019-W03;414;414;123947.428571429
85P;2019-W04;388;388;123955.142857143
85P;2019-W05;446;446;123969.142857143
85P;2019-W06;464;464;123946.285714286
85P;2019-W07;460;460;123909.714285714
85P;2019-W08;399;399;123913.571428571
85P;2019-W09;404;404;123962.285714286
85P;2019-W10;360;360;124027.714285714
85P;2019-W11;401;401;124118.142857143
85P;2019-W12;388;388;124174.428571429
85P;2019-W13;378;378;124273
85P;2019-W14;399;399;124366.428571429
85P;2019-W15;347;347;124412.857142857
85P;2019-W16;398;398;124506.285714286
85P;2019-W17;382;382;124571.285714286
85P;2019-W18;404;404;124606.285714286
85P;2019-W19;351;351;124642.714285714
85P;2019-W20;348;348;124709.285714286
85P;2019-W21;341;341;124795.714285714
85P;2019-W22;383;383;124869.857142857
85P;2019-W23;353;353;124928.285714286
85P;2019-W24;351;351;124993.142857143
85P;2019-W25;372;372;125024.857142857
85P;2019-W26;356;356;125052.428571429
85P;2019-W27;315;315;125114
85P;2019-W28;345;345;125178.857142857
85P;2019-W29;369;369;125241.142857143
85P;2019-W30;343;343;125301.142857143
85P;2019-W31;323;323;125333.857142857
85P;2019-W32;296;296;125398.428571429
85P;2019-W33;340;340;125495.428571429
85P;2019-W34;369;369;125553.571428571
85P;2019-W35;347;347;125596.571428571
85P;2019-W36;344;344;125678.428571429
85P;2019-W37;344;344;125726.714285714
85P;2019-W38;363;363;125770.285714286
85P;2019-W39;375;375;125838.571428571
85P;2019-W40;379;379;125867.857142857
85P;2019-W41;368;368;125886.714285714
85P;2019-W42;369;369;125962.142857143
85P;2019-W43;364;364;126005.714285714
85P;2019-W44;354;354;126031.428571429
85P;2019-W45;379;379;126059.857142857
85P;2019-W46;361;361;126115.714285714
85P;2019-W47;374;374;126134
85P;2019-W48;381;381;126152.285714286
85P;2019-W49;395;395;126181.142857143
85P;2019-W50;411;411;126182.428571429
85P;2019-W51;399;399;126222.571428571
85P;2019-W52;401;401;126250.571428571
85P;2020-W01;432;432;126229.857142857
85P;2020-W02;448;448;126210.428571429
85P;2020-W03;404;404;126182.571428571
85P;2020-W04;376;376;126218.428571429
85P;2020-W05;383;383;126267.714285714
85P;2020-W06;394;394;126345
85P;2020-W07;395;395;126371.571428571
85P;2020-W08;386;386;126448.857142857
85P;2020-W09;391;391;126518.142857143
85P;2020-W10;381;381;126584.428571429
85P;2020-W11;371;371;126685.857142857
85P;2020-W12;423;423;126811.571428571
85P;2020-W13;426;426;126855.714285714
85P;2020-W14;396;396;126911.142857143
85P;2020-W15;417;417;126973.285714286
85P;2020-W16;400;400;127059.571428571
85P;2020-W17;379;379;127101.428571429
85P;2020-W18;415;415;127165.714285714
85P;2020-W19;372;372;127213.857142857
85P;2020-W20;335;335;127284.571428571
85P;2020-W21;377;377;127356.142857143
